protein_name	predict_score
F443_10457	0.816 
F443_08957	0.908 
F443_21130	0.857 
F443_13278	0.769 
F443_13287	0.818 
F443_23095	0.748 
F443_03308	0.914 
F443_17480	0.719 
F443_07186	0.877 
F443_07188	0.718 
F443_13583	0.942 
F443_10563	0.873 
F443_02136	0.799 
F443_15557	0.776 
F443_18557	0.791 
F443_11477	0.703 
F443_05945	0.711 
F443_18187	0.807 
F443_18189	0.860 
F443_02393	0.869 
F443_18924	0.825 
F443_03844	0.846 
F443_05231	0.718 
F443_21637	0.704 
F443_21654	0.718 
F443_04551	0.907 
F443_18408	0.818 
F443_18405	0.835 
F443_18406	0.841 
F443_18409	0.888 
F443_06896	0.805 
F443_08123	0.896 
F443_15294	0.863 
F443_02539	0.766 
F443_18469	0.861 
F443_17307	0.738 
F443_13463	0.756 
F443_08981	0.807 
F443_16834	0.757 
F443_08394	0.725 
F443_10684	0.813 
F443_04228	0.800 
F443_14876	0.839 
F443_21986	0.832 
F443_14920	0.871 
F443_02279	0.889 
F443_12712	0.932 
F443_02843	0.721 
F443_20372	0.726 
F443_20042	0.811 
F443_15106	0.758 
F443_08483	0.791 
F443_10624	0.875 
F443_11811	0.933 
F443_22149	0.920 
F443_10284	0.894 
F443_11884	0.913 
F443_03062	0.772 
F443_15023	0.864 
F443_15025	0.858 
F443_02119	0.808 
F443_02934	0.823 
F443_17365	0.760 
F443_17369	0.867 
F443_17379	0.921 
F443_06283	0.757 
F443_21179	0.835 
F443_00921	0.846 
F443_15270	0.878 
F443_14996	0.783 
F443_14999	0.803 
F443_14997	0.802 
F443_07340	0.817 
F443_18489	0.711 
F443_01002	0.936 
F443_14839	0.841 
F443_02797	0.821 
F443_13771	0.781 
F443_15390	0.737 
F443_03827	0.791 
F443_03825	0.776 
F443_10656	0.770 
F443_10702	0.750 
F443_21959	0.872 
F443_05445	0.865 
F443_15436	0.860 
F443_04645	0.785 
F443_22784	0.861 
F443_18027	0.796 
F443_12470	0.715 
F443_19494	0.881 
F443_15048	0.757 
F443_20761	0.797 
F443_12078	0.876 
F443_02292	0.923 
F443_04553	0.840 
F443_00552	0.850 
F443_00544	0.780 
F443_02644	0.895 
F443_13229	0.789 
F443_03917	0.769 
F443_13147	0.855 
F443_04600	0.727 
F443_02311	0.740 
F443_19140	0.920 
F443_10972	0.928 
F443_19584	0.739 
F443_22185	0.934 
F443_13351	0.851 
F443_04575	0.816 
F443_00664	0.862 
F443_20487	0.896 
F443_12560	0.814 
F443_17397	0.886 
F443_02957	0.723 
F443_15491	0.933 
F443_13254	0.802 
F443_04641	0.831 
F443_10286	0.906 
F443_22634	0.714 
F443_07590	0.873 
F443_14893	0.861 
F443_04470	0.897 
F443_10587	0.821 
F443_10608	0.892 
F443_17099	0.717 
F443_21222	0.801 
F443_08326	0.726 
F443_21201	0.737 
F443_05439	0.824 
F443_18447	0.832 
F443_19159	0.917 
F443_20538	0.937 
F443_03924	0.722 
F443_06550	0.899 
F443_06549	0.864 
F443_06506	0.721 
F443_06494	0.721 
F443_06492	0.752 
F443_13168	0.755 
F443_12741	0.804 
F443_16980	0.893 
F443_14937	0.867 
F443_09062	0.777 
F443_03010	0.821 
F443_13025	0.703 
F443_02882	0.933 
F443_13192	0.807 
F443_13195	0.903 
F443_11017	0.740 
F443_13747	0.900 
F443_10873	0.789 
F443_10884	0.719 
F443_10883	0.725 
F443_14161	0.827 
F443_06741	0.872 
F443_03572	0.831 
F443_03555	0.745 
F443_15093	0.741 
F443_20342	0.823 
F443_22008	0.863 
F443_16015	0.815 
F443_16014	0.888 
F443_16013	0.909 
F443_04463	0.871 
F443_14407	0.924 
F443_06876	0.801 
F443_06875	0.719 
F443_12753	0.772 
F443_12760	0.744 
F443_11913	0.867 
F443_13970	0.774 
F443_14872	0.766 
F443_14866	0.844 
F443_16750	0.703 
F443_07148	0.883 
F443_14899	0.785 
F443_10788	0.893 
F443_01896	0.732 
F443_03159	0.827 
F443_15207	0.717 
F443_07001	0.868 
F443_03840	0.703 
F443_03836	0.905 
F443_15361	0.835 
F443_15259	0.930 
F443_12135	0.703 
F443_05154	0.918 
F443_10915	0.807 
F443_16887	0.796 
F443_08789	0.744 
F443_10269	0.839 
F443_21775	0.787 
F443_02746	0.827 
F443_10617	0.904 
F443_11957	0.874 
F443_11962	0.920 
F443_11955	0.870 
F443_14916	0.876 
F443_14914	0.884 
F443_14915	0.855 
F443_18595	0.751 
F443_13851	0.751 
F443_07459	0.939 
F443_15349	0.935 
F443_21535	0.825 
F443_09406	0.912 
F443_16742	0.824 
F443_01537	0.898 
F443_20926	0.810 
F443_20094	0.924 
F443_20095	0.739 
F443_00443	0.880 
F443_09999	0.703 
F443_11402	0.791 
F443_16935	0.891 
F443_21636	0.853 
F443_12070	0.809 
F443_16053	0.792 
F443_19565	0.857 
F443_20978	0.738 
F443_20515	0.748 
F443_20516	0.773 
F443_04006	0.886 
F443_11339	0.758 
F443_00802	0.879 
F443_15278	0.883 
F443_14118	0.775 
F443_20184	0.773 
F443_19909	0.794 
F443_19905	0.790 
F443_22895	0.828 
F443_23124	0.829 
F443_04395	0.765 
F443_04396	0.736 
F443_18721	0.706 
F443_15584	0.708 
F443_15583	0.805 
F443_02783	0.734 
F443_18503	0.805 
F443_22467	0.798 
F443_03813	0.827 
F443_03810	0.920 
F443_10994	0.706 
F443_15353	0.915 
F443_18184	0.861 
F443_13130	0.748 
F443_03202	0.701 
F443_16600	0.853 
F443_17954	0.706 
F443_12706	0.719 
F443_16188	0.811 
F443_01576	0.909 
F443_11664	0.803 
F443_06937	0.779 
F443_11480	0.837 
F443_21669	0.712 
F443_09459	0.857 
F443_11558	0.840 
F443_13722	0.810 
F443_00322	0.706 
F443_00320	0.707 
F443_02940	0.813 
F443_04235	0.877 
F443_15332	0.710 
F443_15375	0.940 
F443_15377	0.875 
F443_15380	0.840 
F443_15256	0.869 
F443_16669	0.880 
F443_00540	0.941 
F443_09494	0.724 
